
0064,Auditorium,104,,B,GENT
1015,Auditorium,101,,B,GENT
1017,Auditorium,106,,B,GENT
1032,Auditorium,153,,B,GENT
1034,Auditorium,107,,B,GENT
2015,Auditorium,101,,B,GENT
2018,Auditorium,107,,B,GENT
3019,Auditorium,102,,B,GENT
1012,Leslokaal,45,,B,GENT
1013,Leslokaal,50,,B,GENT
1014,Leslokaal,50,,B,GENT
2005,Leslokaal,75,,B,GENT
2006,Leslokaal,35,,B,GENT
2007,Leslokaal,34,,B,GENT
2008,Leslokaal,41,,B,GENT
2012,Leslokaal,54,,B,GENT
2013,Leslokaal,54,,B,GENT
2014,Leslokaal,54,,B,GENT
3006,Leslokaal,34,,B,GENT
3007,Leslokaal,35,,B,GENT
3008,Leslokaal,34,,B,GENT
3011,Leslokaal,34,,B,GENT
3014,Leslokaal,45,,B,GENT
3015,Leslokaal,48,,B,GENT
3038,Leslokaal,34,,B,GENT
3039,Leslokaal,60,,B,GENT
4005,Leslokaal,56,,B,GENT
4006,Leslokaal,35,,B,GENT
4008,Leslokaal,34,,B,GENT
4011,Leslokaal,35,,B,GENT
4014,Leslokaal,49,,B,GENT
4015,Leslokaal,49,,B,GENT
4016,Leslokaal,49,,B,GENT
4017,Leslokaal,49,,B,GENT
4039,Leslokaal,60,,B,GENT
4041,Leslokaal,60,,B,GENT
4042,Leslokaal,60,,B,GENT
1008,PC-lokaal,20,,B,GENT
1026,PC-lokaal,24,,B,GENT
1029,PC-lokaal,36,,B,GENT
1031,PC-lokaal,36,,B,GENT
1036,PC-lokaal,32,,B,GENT
1037,PC-lokaal,32,,B,GENT
3032,PC-lokaal,64,,B,GENT
4012,PC-lokaal,35,,B,GENT
4013,PC-lokaal,42,,B,GENT
4036,PC-lokaal,60,,B,GENT
1011,Laptoplokaal,24,,B,GENT
2009,Laptoplokaal,28,,B,GENT
2010,Laptoplokaal,28,,B,GENT
2011,Laptoplokaal,28,,B,GENT
3012,Laptoplokaal,28,,B,GENT
3013,Laptoplokaal,38,,B,GENT
3026,Laptoplokaal,28,,B,GENT
3027,Laptoplokaal,28,,B,GENT
3028,Laptoplokaal,26,,B,GENT
3029,Laptoplokaal,36,,B,GENT
3035,Laptoplokaal,28,,B,GENT
3036,Laptoplokaal,70,,B,GENT
3037,Laptoplokaal,38,,B,GENT
4029,Laptoplokaal,25,,B,GENT
IT-Lab,Hybride,30,,B,GENT
0125,Auditorium,288,,C,GENT
0155,Auditorium,245,,C,GENT
1005,Auditorium,105,,C,GENT
1155,Auditorium,393,,C,GENT
3010,Auditorium,106,,C,GENT
4105,Auditorium,106,,C,GENT
4130,Auditorium,113,,C,GENT
4135,Auditorium,170,,C,GENT
0006,Leslokaal,25,,C,GENT
0007,Leslokaal,25,,C,GENT
1003,Leslokaal,24,,C,GENT
1004,Leslokaal,24,,C,GENT
1007,Leslokaal,29,,C,GENT
1008,Leslokaal,46,,C,GENT
1009,Leslokaal,46,,C,GENT
1010,Leslokaal,46,,C,GENT
1011,Leslokaal,46,,C,GENT
1012,Leslokaal,68,,C,GENT
2010,Leslokaal,66,,C,GENT
2012,Leslokaal,65,,C,GENT
2014,Leslokaal,64,,C,GENT
2016,Leslokaal,62,,C,GENT
3006,Leslokaal,56,,C,GENT
3008,Leslokaal,47,,C,GENT
3012,Leslokaal,30,,C,GENT
3013,Leslokaal,30,,C,GENT
4140,Leslokaal,30,,C,GENT,
1160,PC-lokaal,15,,C,GENT
2003,PC-lokaal,40,,C,GENT
1045,Taallab,30,,C,GENT
0008,Laptoplokaal,93,,C,GENT
1028,Auditorium,334,D-aud,P,GENT
1054,Auditorium,288,P-aud,P,GENT
1212,Auditorium,90,,P,GENT
1213,Auditorium,90,,P,GENT
1214,Auditorium,90,,P,GENT
1105,Leslokaal,53,,P,GENT
1215,Leslokaal,35,,P,GENT
0056,PC-lokaal,30,,P,GENT
1221,PC-lokaal,20,,P,GENT
0061,Laptoplokaal,21,,P,GENT
0115,Laptoplokaal,106,,P,GENT
1052,Laptoplokaal,30,,P,GENT
1055,Laptoplokaal,30,,P,GENT
1056,Laptoplokaal,30,,P,GENT
1057,Laptoplokaal,30,,P,GENT
1217,Laptoplokaal,30,,P,GENT
1218,Laptoplokaal,70,,P,GENT
1221,Laptoplokaal,20,,P,GENT
1255,Laptoplokaal,18,,P,GENT
0.020,Auditorium,142,,GAARB,AALST
2.002,Auditorium,106,,GAARB,AALST
0.027,Leslokaal,35,,GAARB,AALST
0.028,Leslokaal,35,,GAARB,AALST
0.029,Leslokaal,35,,GAARB,AALST
0.030,Leslokaal,35,,GAARB,AALST
0.031,Leslokaal,35,,GAARB,AALST
0.032,Leslokaal,35,,GAARB,AALST
0.033,Vergaderzaal,15,,GAARB,AALST
1.007,Leslokaal,33,,GAARB,AALST
1.008,Leslokaal,33,,GAARB,AALST
1.009,Leslokaal,33,,GAARB,AALST
1.013,Leslokaal,33,,GAARB,AALST
1.014,Leslokaal,33,,GAARB,AALST
1.015,Leslokaal,33,,GAARB,AALST
0.047,PC-lokaal,30,,GAARB,AALST
1.023,PC-lokaal,30,,GAARB,AALST
